timestamp base currency change
1535552890002 USD GBP 0
1535552890002 USD EUR 0
1535552895004 USD GBP 0
1535552895004 USD EUR 0
1535552905002 USD GBP 0
1535552905002 USD EUR 0
1535552910003 USD EUR 0
1535552915003 USD GBP 0
1535552915003 USD EUR 0
1535552920000 USD GBP 0
1535552920000 USD EUR 0
1535552925001 USD GBP 0
1535552925001 USD EUR 0
1535552930001 USD GBP 0
1535552930001 USD EUR 0
1535552935004 USD GBP 0
1535552935004 USD EUR 0
1535552940001 USD GBP 0
1535552945003 USD GBP 0
1535552945003 USD EUR 0
